"fecha","Freq"
"2023-10-31",2240
"2023-11-01",982
"2023-11-02",727
"2023-11-03",2431
"2023-11-04",2305
"2023-11-05",2558
"2023-11-06",3247
"2023-11-07",3077
"2023-11-08",3339
"2023-11-09",3479
"2023-11-10",1844
"2023-11-11",2485
"2023-11-12",2169
"2023-11-13",2936
"2023-11-14",3345
"2023-11-15",2885
"2023-11-16",3260
"2023-11-17",2518
"2023-11-18",2273
"2023-11-19",2710
"2023-11-20",1906
"2023-11-21",2662
"2023-11-22",3127
"2023-11-23",3226
"2023-11-24",3117
"2023-11-25",2392
"2023-11-26",2341
"2023-11-27",3026
"2023-11-28",3007
"2023-11-29",3106
"2023-11-30",3152
"2023-12-01",1846
"2023-12-02",2491
"2023-12-03",2408
"2023-12-04",4136
"2023-12-05",2426
"2023-12-06",3144
"2023-12-07",3310
"2023-12-08",2541
"2023-12-09",2151
"2023-12-10",2309
"2023-12-11",3139
"2023-12-12",2989
"2023-12-13",2569
"2023-12-14",3132
"2023-12-15",2839
"2023-12-16",2266
"2023-12-17",1085
"2023-12-18",1230
"2023-12-19",2438
"2023-12-20",3077
"2023-12-21",3193
"2023-12-22",3050
"2023-12-23",2193
"2023-12-24",1379
"2023-12-25",1164
"2023-12-26",2815
"2023-12-27",3088
"2023-12-28",2795
"2023-12-29",2640
"2023-12-30",2241
"2023-12-31",1579
"2024-01-01",1179
"2024-01-02",2643
"2024-01-03",2886
"2024-01-04",2866
"2024-01-05",2895
"2024-01-06",1637
"2024-01-07",1906
"2024-01-08",2872
"2024-01-09",2909
"2024-01-10",2855
"2024-01-11",3090
"2024-01-12",3099
"2024-01-13",2272
"2024-01-14",1908
"2024-01-15",3127
"2024-01-16",1793
"2024-01-17",3197
"2024-01-18",2880
"2024-01-19",2633
"2024-01-20",2469
"2024-01-21",2446
"2024-01-22",3102
"2024-01-23",3183
"2024-01-24",3461
"2024-01-25",3233
"2024-01-26",3218
"2024-01-27",2452
"2024-01-28",2466
"2024-01-29",3048
"2024-01-30",2984
"2024-01-31",2851
"2024-02-01",2830
"2024-02-02",2862
"2024-02-03",2079
"2024-02-04",1754
"2024-02-05",2660
"2024-02-06",2610
"2024-02-07",2487
"2024-02-08",2642
"2024-02-09",1859
"2024-02-10",2043
"2024-02-11",1951
"2024-02-12",1055
"2024-02-13",2005
"2024-02-14",2907
"2024-02-15",3068
"2024-02-16",3345
"2024-02-17",2228
"2024-02-18",2111
"2024-02-19",2922
"2024-02-20",2953
"2024-02-21",2989
"2024-02-22",2857
"2024-02-23",2027
"2024-02-24",2269
"2024-02-25",875
"2024-02-26",2032
"2024-02-27",2826
"2024-02-28",2871
"2024-02-29",2898
"2024-03-01",2934
"2024-03-02",1723
"2024-03-03",2169
"2024-03-04",2893
"2024-03-05",3191
"2024-03-06",3241
"2024-03-07",3504
"2024-03-08",2664
"2024-03-09",2445
"2024-03-10",1905
"2024-03-11",2187
"2024-03-12",2686
"2024-03-13",2253
"2024-03-14",872
"2024-03-15",1980
"2024-03-16",1181
"2024-03-17",1675
"2024-03-18",2717
"2024-03-19",2624
"2024-03-20",2007
"2024-03-21",2826
"2024-03-22",2830
"2024-03-23",2120
"2024-03-24",1851
"2024-03-25",3185
"2024-03-26",3776
"2024-03-27",2999
"2024-03-28",2412
"2024-03-29",1885
"2024-03-30",1918
"2024-03-31",1097
"2024-04-01",1408
"2024-04-02",1773
"2024-04-03",1516
"2024-04-04",2694
"2024-04-05",2944
"2024-04-06",1760
"2024-04-07",1975
"2024-04-08",2846
"2024-04-09",2912
"2024-04-10",2450
"2024-04-11",2588
"2024-04-12",1648
"2024-04-13",550
"2024-04-14",697
"2024-04-15",621
"2024-04-16",2166
"2024-04-17",2776
"2024-04-18",2819
"2024-04-19",3894
"2024-04-20",2152
"2024-04-21",1523
"2024-04-22",2115
"2024-04-23",2407
"2024-04-24",2578
"2024-04-25",2252
"2024-04-26",1836
"2024-04-27",1821
"2024-04-28",1860
"2024-04-29",2237
"2024-04-30",2332
